Timepoint,No,No2,Family,Cone,Cross,popcross,Mom,Dad,RegionCross2,RegionCross,Breed,StartPos,Rack,DevicePos,DeviceNo,PlugPosition,IndID,Area
T0,1238,321,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C10,9,11,195,3,9.11.3.2,2.569
T0,1239,321,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C10,9,11,195,3,9.11.3.3,1.132
T0,1240,322,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,J13,9,12,13,1,9.12.1.1,1.221
T0,1241,323,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,D14,9,12,13,2,9.12.2.1,1.295
T0,1242,323,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,D14,9,12,13,2,9.12.2.2,NA
T0,1243,323,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,D14,9,12,13,2,9.12.2.3,1.071
T0,1244,324,HF84,C63,Davies16xDavies18,DAxDA,Davies16,Davies18,CentralxCentral,CentralxCentral,CentralPure,H4,9,12,13,3,9.12.3.1,1.668
T0,1245,325,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B1,10,1,42,1,10.1.1.1,1.095
T0,1246,325,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B1,10,1,42,1,10.1.1.2,NA
T0,1247,326,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B9,10,1,42,2,10.1.2.1,1.681
T0,1248,326,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B9,10,1,42,2,10.1.2.2,2.553
T0,1249,326,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B9,10,1,42,2,10.1.2.3,NA
T0,1250,326,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B9,10,1,42,2,10.1.2.4,NA
T0,1251,327,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,G3,10,1,42,3,10.1.3.1,1.594
T0,1252,327,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,G3,10,1,42,3,10.1.3.2,1.494
T0,1253,327,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,G3,10,1,42,3,10.1.3.3,NA
T0,1254,328,HF84,C63,Davies16xDavies18,DAxDA,Davies16,Davies18,CentralxCentral,CentralxCentral,CentralPure,K12,10,2,49,1,10.2.1,NA
T0,1255,329,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,G1,10,2,49,2,10.2.2.1,1.023
T0,1256,329,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,G1,10,2,49,2,10.2.2.2,1.145
T0,1257,329,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,G1,10,2,49,2,10.2.2.3,NA
T0,1258,329,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,G1,10,2,49,2,10.2.2.4,NA
T0,1259,330,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,F2,10,2,49,3,10.2.3.1,0.673
T0,1260,330,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,F2,10,2,49,3,10.2.3.2,0.959
T0,1261,330,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,F2,10,2,49,3,10.2.3.3,NA
T0,1262,330,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,F2,10,2,49,3,10.2.3.4,NA
T0,1263,331,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B2,10,3,41,1,10.3.1,NA
T0,1264,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,41,2,10.3.2,NA
T0,1265,333,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B10,10,3,41,3,10.3.3.1,1.93
T0,1266,334,HF84,C63,Davies16xDavies18,DAxDA,Davies16,Davies18,CentralxCentral,CentralxCentral,CentralPure,I12,10,4,32,1,10.4.1,NA
T0,1267,335,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,J2,10,4,32,2,10.4.2,NA
T0,1268,336,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,I2,10,4,32,3,10.4.3.1,1.739
T0,1269,337,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K4,10,5,196,1,10.5.1.1,1.639
T0,1270,338,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,D3,10,5,196,2,10.5.2.1,0.623
T0,1271,338,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,D3,10,5,196,2,10.5.2.2,1.283
T0,1272,338,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,D3,10,5,196,2,10.5.2.3,NA
T0,1273,339,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,H2,10,5,196,3,10.5.3,NA
T0,1274,340,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,B4,10,6,4,1,10.6.1.1,1.133
T0,1275,340,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,B4,10,6,4,1,10.6.1.2,1.096
T0,1276,340,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,B4,10,6,4,1,10.6.1.3,NA
T0,1277,341,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,D14,10,6,4,2,10.6.2.1,0.909
